Frame,X_px,Y_px,Time_s,X_m,Y_m
1,1002.63,422.17273,0.03333333333333333,0.0,-0.0
2,1008.823,420.65533,0.06666666666666667,0.034630205,0.008485025
3,1006.5914,419.94647,0.1,0.022151304,0.012448868
4,1004.6819,419.8242,0.13333333333333333,0.011473778,0.01313266
5,1003.0117,419.94507,0.16666666666666666,0.0021344817,0.012456717
6,1001.8019,420.37442,0.2,-0.00463074,0.010055852
7,1000.7284,420.61856,0.23333333333333334,-0.0106335,0.008690658
8,999.99445,420.66736,0.26666666666666666,-0.014737616,0.00841779
9,999.30884,421.4121,0.3,-0.018571423,0.0042532636
10,998.53156,421.9753,0.3333333333333333,-0.022917861,0.0011039304
11,997.7394,422.37976,0.36666666666666664,-0.027347576,-0.001157685
12,996.75415,422.7647,0.4,-0.03285682,-0.0033102555
13,995.60046,423.04947,0.43333333333333335,-0.039308045,-0.004902584
14,994.78253,423.28033,0.4666666666666667,-0.04388179,-0.006193546
15,993.9021,423.46967,0.5,-0.04880502,-0.0072522545
16,993.1352,423.72708,0.5333333333333333,-0.053093437,-0.008691682
17,992.5139,423.9701,0.5666666666666667,-0.056567516,-0.010050562
18,992.0138,424.24823,0.6,-0.059364118,-0.01160586
19,991.44073,424.62024,0.6333333333333333,-0.06256857,-0.013686075
20,990.78375,425.00238,0.6666666666666666,-0.06624231,-0.015822945
21,990.155,425.49747,0.7,-0.06975803,-0.018591389
22,989.5815,426.07608,0.7333333333333333,-0.07296521,-0.0218269
23,988.8301,426.53864,0.7666666666666667,-0.07716694,-0.024413433
24,988.20593,427.05692,0.8,-0.08065706,-0.02731157
25,987.2116,427.33994,0.8333333333333334,-0.08621715,-0.028894171
26,986.4371,427.66727,0.8666666666666667,-0.09054823,-0.030724555
27,985.6279,428.15497,0.9,-0.09507283,-0.033451702
28,984.8506,428.4062,0.9333333333333333,-0.09941961,-0.034856487
29,984.04614,428.4981,0.9666666666666667,-0.10391793,-0.035370484
30,983.4555,428.71454,1.0,-0.10722067,-0.03658073
31,982.50903,429.11685,1.0333333333333334,-0.11251319,-0.0388304
32,981.7821,429.2781,1.0666666666666667,-0.11657806,-0.03973211
33,981.01996,429.5415,1.1,-0.12083985,-0.041204985
34,980.3196,429.7733,1.1333333333333333,-0.124756254,-0.042501066
35,979.59894,430.12274,1.1666666666666667,-0.12878597,-0.04445517
36,978.9347,430.44135,1.2,-0.13250032,-0.04623675
37,978.4358,430.75043,1.2333333333333334,-0.1352901,-0.047965087
38,977.8288,431.06653,1.2666666666666666,-0.1386843,-0.04973267
39,977.2771,431.39932,1.3,-0.1417693,-0.0515936
40,976.32324,431.5865,1.3333333333333333,-0.14710312,-0.052640196
41,975.6374,431.86804,1.3666666666666667,-0.1509383,-0.054214604
42,974.98175,432.28293,1.4,-0.15460452,-0.05653458
43,974.26825,432.51743,1.4333333333333333,-0.15859431,-0.057845853
44,973.72723,433.1465,1.4666666666666666,-0.16161957,-0.061363615
45,973.1365,433.38358,1.5,-0.16492301,-0.06268922
46,972.6741,433.76944,1.5333333333333334,-0.16750869,-0.06484691
