,Frame,X_px,Y_px,Time_s,X_m,Y_m
0,1,233.76828,602.2372,0.03333333333333333,0.0,-0.0
1,2,233.06927,602.20807,0.06666666666666667,-0.005985231,0.00024928665
2,3,232.28355,602.1196,0.1,-0.012712966,0.0010065536
3,4,231.12097,601.971,0.13333333333333333,-0.022667577,0.0022791175
4,5,230.07361,601.5443,0.16666666666666666,-0.031635623,0.0059327083
5,6,229.10718,601.2457,0.2,-0.039910685,0.008489334
6,7,227.75421,601.1261,0.23333333333333334,-0.05149546,0.009513657
7,8,226.70674,600.9876,0.26666666666666666,-0.060464423,0.010699466
8,9,225.79901,600.93964,0.3,-0.06823686,0.011110241
9,10,225.0047,601.10046,0.3333333333333333,-0.07503815,0.0097331535
10,11,224.01605,601.393,0.36666666666666664,-0.08350345,0.0072282674
11,12,223.36603,601.7914,0.4,-0.089069284,0.003817169
12,13,222.69699,601.686,0.43333333333333335,-0.09479791,0.0047197226
13,14,222.0075,601.9572,0.4666666666666667,-0.100701615,0.002397228
14,15,221.58656,601.93604,0.5,-0.104305945,0.002578575
15,16,220.95213,602.1964,0.5333333333333333,-0.10973825,0.00034910583
16,17,220.43828,602.24066,0.5666666666666667,-0.114138134,-2.978897e-05
17,18,219.79266,602.51776,0.6,-0.11966621,-0.0024024544
18,19,219.04037,602.82104,0.6333333333333333,-0.12610768,-0.004999321
19,20,218.58751,606.547,0.6666666666666666,-0.12998535,-0.036902785
20,21,218.12904,606.5375,0.7,-0.13391095,-0.036821257
21,22,217.21103,606.4693,0.7333333333333333,-0.14177145,-0.036237497
22,23,215.88554,608.0073,0.7666666666666667,-0.15312092,-0.049406834
23,24,213.87175,608.37317,0.8,-0.17036404,-0.052539382
