Frame,X_px,Y_px,Time_s,X_m,Y_m
1,257.97162,755.698,0.03333333333333333,0.0,-0.0
2,256.83505,753.6474,0.06666666666666667,-0.007414741,0.013377711
3,256.70435,751.1308,0.1,-0.008267447,0.02979554
4,255.82935,747.6066,0.13333333333333333,-0.01397578,0.05278655
5,254.4125,744.5799,0.16666666666666666,-0.023218973,0.072532386
6,253.40114,742.13745,0.2,-0.029816942,0.08846642
7,252.20374,739.44165,0.23333333333333334,-0.037628572,0.106053315
8,251.69525,736.45374,0.26666666666666666,-0.040945824,0.1255459
9,251.47983,733.60034,0.3,-0.042351205,0.1441609
10,251.49026,732.5029,0.3333333333333333,-0.042283118,0.1513202
11,251.79553,732.8032,0.36666666666666664,-0.04029161,0.14936115
12,251.84189,732.7468,0.4,-0.039989192,0.14972907
13,251.9876,733.0611,0.43333333333333335,-0.039038632,0.14767884
14,252.03442,733.35706,0.4666666666666667,-0.03873313,0.14574805
15,252.23178,733.7521,0.5,-0.03744561,0.14317101
16,252.61818,734.48816,0.5333333333333333,-0.034924816,0.13836895
17,252.66325,735.3291,0.5666666666666667,-0.03463076,0.1328828
18,252.49315,736.3632,0.6,-0.035740495,0.1261364
19,252.0848,737.6188,0.6333333333333333,-0.038404528,0.11794541
20,251.41272,739.4355,0.6666666666666666,-0.042789005,0.10609353
21,250.23601,741.20844,0.7,-0.05046565,0.09452715
22,248.72337,743.22455,0.7333333333333333,-0.06033379,0.08137441
23,247.1038,745.09906,0.7666666666666667,-0.07089954,0.06914545
24,245.55157,747.05237,0.8,-0.081026,0.05640244
25,244.41983,749.4468,0.8333333333333334,-0.08840928,0.040781774
26,243.55562,752.13477,0.8666666666666667,-0.09404724,0.023245849
27,243.0107,754.97675,0.9,-0.0976022,0.0047053136
28,242.54874,758.2539,0.9333333333333333,-0.10061594,-0.016674258
29,242.28094,761.39264,0.9666666666666667,-0.10236297,-0.03715075
30,242.46404,764.4417,1.0,-0.10116852,-0.05704232
31,242.79782,767.0882,1.0333333333333334,-0.09899096,-0.07430748
32,243.66937,769.1131,1.0666666666666667,-0.093305126,-0.08751756
33,244.81363,770.7411,1.1,-0.08584022,-0.09813826
34,245.78458,771.78705,1.1333333333333333,-0.07950594,-0.104961894
35,246.3044,773.1692,1.1666666666666667,-0.07611473,-0.11397872
36,246.31813,774.0668,1.2,-0.076025136,-0.119834386
37,245.65231,774.80634,1.2333333333333334,-0.0803688,-0.12465915
38,244.79143,774.96405,1.2666666666666666,-0.08598506,-0.12568805
39,244.47673,775.4345,1.3,-0.08803808,-0.12875724
40,239.9132,776.779,1.3333333333333333,-0.11780973,-0.13752839
