Frame,X_px,Y_px,Time_s,X_m,Y_m
1,989.78217,425.65457,0.03333333333333333,0.0,-0.0
2,1004.3306,423.8037,0.06666666666666667,0.08135262,0.0103497105
3,1010.87195,422.45334,0.1,0.11793062,0.017900772
4,1011.3089,422.58755,0.13333333333333333,0.12037398,0.017150257
5,1009.7747,422.87628,0.16666666666666666,0.1117951,0.015535743
6,1008.6124,423.36966,0.2,0.10529575,0.012776855
7,1007.5601,423.7043,0.23333333333333334,0.09941142,0.010905515
8,1006.86957,423.76303,0.26666666666666666,0.09554996,0.010577186
9,1006.14435,424.44107,0.3,0.09149466,0.006785699
10,1005.39264,425.0296,0.3333333333333333,0.08729122,0.0034947274
11,1004.6173,425.37225,0.36666666666666664,0.0829557,0.0015786769
12,1003.50476,425.7945,0.4,0.07673451,-0.0007824271
13,1002.39453,426.07614,0.43333333333333335,0.07052629,-0.0023573497
14,1001.58295,426.3282,0.4666666666666667,0.06598804,-0.0037667423
15,1000.75604,426.52823,0.5,0.06136413,-0.0048853485
16,1000.0695,426.80276,0.5333333333333333,0.057525203,-0.00642051
17,999.4013,427.0485,0.5666666666666667,0.053788666,-0.007794578
18,998.94073,427.3217,0.6,0.051213223,-0.009322231
19,998.39,427.67734,0.6333333333333333,0.048133686,-0.011310978
20,997.6734,428.0688,0.6666666666666666,0.0441265,-0.013499897
21,997.0639,428.60724,0.7,0.04071829,-0.016510833
22,996.48016,429.1467,0.7333333333333333,0.037454113,-0.019527402
23,995.7653,429.6311,0.7666666666666667,0.03345682,-0.022236118
24,995.14197,430.13516,0.8,0.02997114,-0.025054732
25,994.1494,430.42752,0.8333333333333334,0.024420941,-0.026689554
26,993.3608,430.78732,0.8666666666666667,0.02001102,-0.028701508
27,992.5605,431.2537,0.9,0.015535913,-0.03130937
28,991.75433,431.50748,0.9333333333333333,0.011028041,-0.03272849
29,990.9961,431.5803,0.9666666666666667,0.0067880885,-0.03313566
30,990.36346,431.80634,1.0,0.0032505281,-0.03439966
31,989.4248,432.19852,1.0333333333333334,-0.0019983035,-0.036592674
32,988.71716,432.33286,1.0666666666666667,-0.00595532,-0.03734387
33,987.9725,432.64258,1.1,-0.010119504,-0.03907579
34,987.2123,432.86212,1.1333333333333333,-0.014370379,-0.040303443
35,986.4486,433.1845,1.1666666666666667,-0.018640708,-0.04210618
36,985.837,433.48618,1.2,-0.02206086,-0.043793052
37,985.3482,433.84064,1.2333333333333334,-0.02479398,-0.04577514
