Frame,X_px,Y_px,Time_s,X_m,Y_m
1,254.62085,641.08136,0.03333333333333333,0.0,-0.0
2,245.06958,650.96014,0.06666666666666667,-0.07930448,-0.082023844
3,238.52766,660.1805,0.1,-0.13362221,-0.15858059
4,232.79875,660.2096,0.13333333333333333,-0.18118954,-0.15882231
6,805.31744,656.466,0.2,4.5724506,-0.12773916
7,803.56195,657.3633,0.23333333333333334,4.5578747,-0.1351893
8,801.69836,658.3637,0.26666666666666666,4.5424013,-0.14349587
9,865.72876,657.51984,0.3,5.0740476,-0.13648917
10,864.0081,658.0763,0.3333333333333333,5.059761,-0.14110945
11,908.5163,654.1009,0.36666666666666664,5.4293137,-0.10810156
12,961.70386,650.1711,0.4,5.8709316,-0.075472236
13,959.8887,650.8227,0.43333333333333335,5.85586,-0.08088259
14,958.02716,651.19867,0.4666666666666667,5.840404,-0.08400433
15,954.9606,652.521,0.5,5.814942,-0.094983645
16,952.9713,653.3119,0.5333333333333333,5.798425,-0.10155046
17,926.7678,650.14026,0.5666666666666667,5.580857,-0.075216316
18,958.10913,652.33984,0.6,5.8410845,-0.09347954
19,956.1067,653.0692,0.6333333333333333,5.824458,-0.09953552
20,953.9159,653.5929,0.6666666666666666,5.806268,-0.10388366
21,951.72064,654.34845,0.7,5.7880406,-0.11015705
22,949.4143,654.9833,0.7333333333333333,5.7688913,-0.11542804
23,947.02563,655.80145,0.7666666666666667,5.749058,-0.12222138
24,944.9077,656.3432,0.8,5.731473,-0.12671953
25,942.7907,656.98474,0.8333333333333334,5.7138953,-0.13204625
26,940.72266,657.39453,0.8666666666666667,5.696724,-0.13544875
27,1073.4371,664.9911,0.9,6.7986565,-0.19852321
28,1071.5643,665.5499,0.9333333333333333,6.7831063,-0.20316325
29,1069.706,666.0654,0.9666666666666667,6.7676773,-0.20744349
30,1067.9142,666.5936,1.0,6.7527995,-0.21182914
31,1066.091,667.12256,1.0333333333333334,6.737661,-0.21622087
32,1015.50433,662.7436,1.0666666666666667,6.317639,-0.17986217
33,1013.836,663.1848,1.1,6.3037863,-0.18352565
34,1012.0661,663.45996,1.1333333333333333,6.289091,-0.18581021
